nameWithOwner,createdAt,stargazerCount,commitCount
amitshekhariitbhu/Fast-Android-Networking,2016-03-21T18:35:44Z,5648,1
auth0/java-jwt,2014-03-07T15:06:11Z,5641,22
daimajia/AndroidImageSlider,2014-06-02T06:04:17Z,5640,0
gz-yami/mall4cloud,2021-08-04T03:04:36Z,5593,81
hanks-zyh/HTextView,2015-12-19T16:34:59Z,5593,0
hongyangAndroid/FlowLayout,2015-08-28T09:32:31Z,5585,0
nhaarman/ListViewAnimations,2013-03-19T11:59:23Z,5571,0
alipay/SoloPi,2019-03-14T15:32:49Z,5569,0
knightliao/disconf,2014-05-30T09:39:27Z,5568,0
apache/zeppelin,2015-03-25T07:00:06Z,6251,140
sshahine/JFoenix,2015-09-08T14:04:24Z,6238,0
AsyncHttpClient/async-http-client,2011-03-07T13:41:46Z,6228,71
aa112901/remusic,2016-03-24T06:20:39Z,6216,0
HMCL-dev/HMCL,2015-06-22T08:06:03Z,6211,376
wasabeef/richeditor-android,2015-03-30T16:19:20Z,6191,0
ityouknow/spring-cloud-examples,2017-04-28T08:48:53Z,6180,0
getActivity/AndroidProject,2018-10-23T10:30:55Z,6174,0
joelittlejohn/jsonschema2pojo,2013-06-22T22:28:53Z,6136,79
macrozheng/springcloud-learning,2019-09-07T02:36:16Z,6135,2
junit-team/junit5,2015-01-11T19:06:10Z,6128,703
ikew0ng/SwipeBackLayout,2013-08-25T03:36:12Z,6127,0
rengwuxian/MaterialEditText,2014-10-30T10:07:23Z,6108,0
lightbend/config,2011-12-06T08:02:29Z,6082,5
daimajia/NumberProgressBar,2014-05-01T08:54:25Z,6066,0
amitshekhariitbhu/from-java-to-kotlin,2017-05-21T11:56:27Z,6060,2
wiremock/wiremock,2011-10-09T20:27:24Z,6040,714
quartz-scheduler/quartz,2016-03-07T14:05:37Z,6035,30
graphql-java/graphql-java,2015-07-06T06:52:20Z,6022,973
rey5137/material,2014-12-09T12:07:32Z,6020,0
singwhatiwanna/dynamic-load-apk,2014-03-30T11:51:00Z,6018,0
raphw/byte-buddy,2013-11-25T19:38:03Z,5980,342
google/j2objc,2014-01-30T20:19:56Z,5976,243
antoniolg/androidmvp,2014-04-02T05:42:20Z,5944,0
micronaut-projects/micronaut-core,2018-03-07T12:05:08Z,5928,1387
haifengl/smile,2014-11-20T16:28:12Z,5902,270
springfox/springfox,2012-05-06T06:38:57Z,5899,0
liyifeng1994/ssm,2016-06-18T17:58:56Z,5886,0
weibocom/motan,2016-04-20T10:56:17Z,5867,33
jOOQ/jOOQ,2011-04-17T10:43:33Z,5860,1139
hazelcast/hazelcast,2012-03-21T12:25:18Z,5829,2084
lets-blade/blade,2015-06-10T03:35:49Z,5823,2
Nightonke/BoomMenu,2016-03-19T12:04:12Z,5801,0
confluentinc/ksql,2016-09-27T21:30:15Z,5794,5391
robolectric/robolectric,2010-08-28T00:28:25Z,5784,887
JakeWharton/DiskLruCache,2012-01-05T00:36:34Z,5780,0
Devlight/InfiniteCycleViewPager,2016-08-22T08:04:39Z,5759,0
hibernate/hibernate-orm,2010-10-04T16:15:52Z,5724,3054
changmingxie/tcc-transaction,2015-12-05T04:27:53Z,5709,17
dmytrodanylyk/circular-progress-button,2014-06-07T12:58:48Z,5705,40
jpush/aurora-imui,2016-12-13T05:24:01Z,5694,0
k0shk0sh/FastHub,2017-02-18T17:53:16Z,5692,0
