nameWithOwner,closedIssuesCount
pybind/pybind11,1552
geeeeeeeeek/git-recipes,0
mswjs/msw,910
vaxilu/x-ui,0
carlospolop/PEASS-ng,155
getsops/sops,408
vitalysim/Awesome-Hacking-Resources,16
ty4z2008/Qix,24
browserify/browserify,1150
fabric/fabric,1310
mockito/mockito,1241
charmbracelet/glow,128
iv-org/invidious,2919
thomaspark/bootswatch,859
ruanyf/free-books,20
alibaba/ARouter,785
Netflix/chaosmonkey,13
mayooear/gpt4-pdf-chatbot-langchain,271
angular-ui/bootstrap,4184
jart/cosmopolitan,353
dogecoin/dogecoin,1073
Tencent/QMUI_Android,708
tikv/tikv,3717
fangzesheng/free-api,8
marcuswestin/WebViewJavascriptBridge,208
getgrav/grav,2609
w-okada/voice-changer,739
golangci/golangci-lint,1392
graphql/graphql-spec,354
jobbole/awesome-programming-books,10
textmate/textmate,0
dair-ai/ML-YouTube-Courses,8
paperjs/paper.js,1278
denisidoro/navi,285
BrainJS/brain.js,522
bitwarden/server,1031
bytecodealliance/wasmtime,1630
apprenticeharper/DeDRM_tools,1148
uuidjs/uuid,369
argoproj/argo-workflows,4697
fauxpilot/fauxpilot,73
aleju/imgaug,224
pppscn/SmsForwarder,382
formatjs/formatjs,1849
RPCS3/rpcs3,6542
trufflesuite/truffle,2418
microsoft/dotnet,406
GoogleChrome/chrome-extensions-samples,378
OpenRA/OpenRA,7638
unifyai/ivy,15786
TransformerOptimus/SuperAGI,271
slint-ui/slint,1136
ianyh/Amethyst,704
SnapKit/SnapKit,546
sqlitebrowser/sqlitebrowser,2190
hiroi-sora/Umi-OCR,282
google/eng-practices,7
zzzgydi/clash-verge,567
afollestad/material-dialogs,0
oracle/graal,3385
grpc/grpc-go,2332
lewagon/dotfiles,22
getcursor/cursor,695
ScoopInstaller/Scoop,2572
hashcat/hashcat,1730
adobe-fonts/source-code-pro,169
FredKSchott/snowpack,545
semantic-release/semantic-release,1087
segment-boneyard/nightmare,1066
movie-web/movie-web,454
sharkdp/hyperfine,194
vueComponent/ant-design-vue,5259
radareorg/radare2,7532
mitesh77/Best-Flutter-UI-Templates,62
zergtant/pytorch-handbook,29
OpenAPITools/openapi-generator,3613
rough-stuff/rough,108
wenyan-lang/wenyan,307
mybatis/mybatis-3,1155
pulumi/pulumi,4938
tobiasahlin/SpinKit,53
valeriansaliou/sonic,202
railsware/upterm,533
brettwooldridge/HikariCP,1298
SBoudrias/Inquirer.js,627
jaegertracing/jaeger,1470
elastic/kibana,53136
KurtBestor/Hitomi-Downloader,3238
facebookresearch/audiocraft,78
authelia/authelia,1122
Awesome-HarmonyOS/HarmonyOS,0
chai2010/advanced-go-programming-book,168
toml-lang/toml,487
thangchung/awesome-dotnet-core,55
wekan/wekan,2989
vuejs/vue-router,2778
umami-software/umami,1308
desktop/desktop,10029
tpope/vim-fugitive,1722
Vonng/ddia,70
Tencent/ncnn,2358
handsontable/handsontable,7067
matomo-org/matomo,11326
MagicMirrorOrg/MagicMirror,1410
remotion-dev/remotion,1242
you-dont-need/You-Dont-Need-JavaScript,51
zsh-users/zsh-syntax-highlighting,537
emilk/egui,1025
linlinjava/litemall,331
PromtEngineer/localGPT,102
opentofu/opentofu,547
yoheinakajima/babyagi,39
juanfont/headscale,602
Baseflow/PhotoView,477
dibingfa/flash-linux0.11-talk,13
square/picasso,1379
adam-golab/react-developer-roadmap,21
WordPress/WordPress,0
knex/knex,2918
wechaty/wechaty,1569
Stirling-Tools/Stirling-PDF,287
Prinzhorn/skrollr,533
ungoogled-software/ungoogled-chromium,1834
airbnb/visx,635
gentilkiwi/mimikatz,239
keepassxreboot/keepassxc,6969
web3/web3.js,3576
chokcoco/iCSS,21
RVC-Boss/GPT-SoVITS,303
trojan-gfw/trojan,520
darkreader/darkreader,3589
google/web-starter-kit,536
vueuse/vueuse,1422
drizzle-team/drizzle-orm,618
yudai/gotty,132
you-dont-need/You-Dont-Need-Lodash-Underscore,82
node-red/node-red,2085
greensock/GSAP,526
jcjohnson/neural-style,149
InterviewMap/CS-Interview-Knowledge-Map,76
xiaolai/everyone-can-use-english,117
bcit-ci/CodeIgniter,3244
yudaocode/SpringBoot-Labs,16
basecamp/trix,705
simdjson/simdjson,669
mojs/mojs,158
Nyr/openvpn-install,870
realm/SwiftLint,2125
raysan5/raylib,1622
payloadcms/payload,1300
HelloZeroNet/ZeroNet,1457
swoole/swoole-src,3251
chatwoot/chatwoot,3266
yujiangshui/A-Programmers-Guide-to-English,19
edent/SuperTinyIcons,236
angular-ui/bootstrap,4184
jart/cosmopolitan,353
dogecoin/dogecoin,1073
TheAlgorithms/Go,70
fangzesheng/free-api,8
marcuswestin/WebViewJavascriptBridge,208
golangci/golangci-lint,1392
vernesong/OpenClash,3114
yiisoft/yii2,11025
jobbole/awesome-programming-books,10
mxcl/PromiseKit,846
zhisheng17/flink-learning,0
textmate/textmate,0
paperjs/paper.js,1278
denisidoro/navi,285
powerline/powerline,1262
bitwarden/server,1031
apprenticeharper/DeDRM_tools,1148
argoproj/argo-workflows,4697
ppy/osu,8542
chenshuo/muduo,341
go-sql-driver/mysql,893
fathyb/carbonyl,55
getlantern/lantern,0
formatjs/formatjs,1849
RPCS3/rpcs3,6542
blakeblackshear/frigate,4690
trufflesuite/truffle,2418
GoogleChrome/chrome-extensions-samples,378
networkx/networkx,2972
arc53/DocsGPT,230
OpenRA/OpenRA,7638
TransformerOptimus/SuperAGI,271
elastic/logstash,4710
Python-World/python-mini-projects,147
signalapp/Signal-Desktop,4967
unbug/codelf,88
geeeeeeeeek/electronic-wechat,395
open-android/Android,7
josdejong/mathjs,1548
boltdb/bolt,285
hindupuravinash/the-gan-zoo,17
reactos/reactos,0
NVlabs/stylegan,0
FormidableLabs/webpack-dashboard,189
microsoft/qlib,673
google/WebFundamentals,2755
wangshub/wechat_jump_game,959
adobe-webplatform/Snap.svg,299
PerfectlySoft/Perfect,138
dotnet/runtime,51600
MithrilJS/mithril.js,1439
NodeBB/NodeBB,7727
barryvdh/laravel-ide-helper,822
JanDeDobbeleer/oh-my-posh,1592
saltstack/salt,23752
CoderMJLee/MJRefresh,1336
stascorp/rdpwrap,1960
lima-vm/lima,458
youfou/wxpy,134
myliang/x-spreadsheet,180
mame/quine-relay,73
postalserver/postal,1549
abseil/abseil-cpp,677
apexcharts/apexcharts.js,2875
interagent/http-api-design,17
kubernetes/dashboard,2689
Intervention/image,917
microsoft/nni,1677
adobe-fonts/source-han-sans,291
hyperium/hyper,1515
xtaci/kcptun,768
apollographql/apollo-server,2270
chriskempson/tomorrow-theme,0
redis/ioredis,1114
golang-migrate/migrate,349
vurtun/nuklear,451
trufflesecurity/trufflehog,422
