nameWithOwner,createdAt,stargazerCount,commitCount
tyrantgit/ExplosionField,2015-09-23T11:34:50Z,3597,0
geoserver/geoserver,2011-11-10T19:56:06Z,3553,623
arimorty/floatingsearchview,2015-11-22T02:38:32Z,3545,0
google/data-transfer-project,2018-01-04T21:27:57Z,3542,94
JakeWharton/ThreeTenABP,2015-07-03T17:35:09Z,3533,20
lsjwzh/RecyclerViewPager,2015-01-17T18:30:34Z,3533,0
dropbox/hackpad,2015-08-14T02:32:17Z,3532,0
WVector/AppUpdate,2017-06-19T09:38:42Z,3531,0
react-native-share/react-native-share,2015-09-30T02:27:34Z,3519,93
googlemaps/android-maps-utils,2013-05-17T00:08:48Z,3518,73
andremion/Music-Player,2016-05-06T21:55:37Z,3513,0
undertow-io/undertow,2012-07-19T00:52:44Z,3512,194
uber/NullAway,2017-09-01T17:35:57Z,3512,189
baoyongzhang/SwipeMenuListView,2014-08-24T15:40:45Z,3509,0
bitcoin-wallet/bitcoin-wallet,2012-03-31T17:06:47Z,3509,83
ZHENFENG13/My-Blog,2019-03-04T09:17:00Z,3498,2
dingjikerbo/Android-BluetoothKit,2015-10-08T09:07:33Z,3479,0
alibaba/Alink,2018-09-30T06:36:11Z,3478,20
KingJA/LoadSir,2017-09-02T08:32:15Z,3447,0
crossoverJie/SSM,2016-06-21T10:09:02Z,3441,0
FasterXML/jackson-databind,2011-12-23T07:17:41Z,3441,816
openhab/openhab1-addons,2013-09-20T20:28:43Z,3432,0
rubensousa/PreviewSeekBar,2017-01-24T23:52:44Z,3429,10
ittianyu/BottomNavigationViewEx,2016-11-12T08:39:38Z,3417,0
shopizer-ecommerce/shopizer,2012-11-21T03:42:39Z,3414,25
anggrayudi/android-hidden-api,2015-09-16T11:58:33Z,3396,0
PlexPt/chatgpt-java,2022-12-07T04:55:33Z,3394,133
RoaringBitmap/RoaringBitmap,2013-06-17T20:29:23Z,3365,119
dromara/dynamic-tp,2022-01-07T16:35:27Z,3338,876
iammert/ScalingLayout,2017-10-01T12:28:34Z,3337,0
phodal/migration,2020-01-08T02:11:38Z,3335,0
luojilab/DDComponentForAndroid,2017-09-07T05:48:44Z,3327,0
spotbugs/spotbugs,2016-11-04T22:18:08Z,3321,434
kevinsawicki/http-request,2011-10-21T19:54:58Z,3320,0
coderbruis/JavaSourceCodeLearning,2020-06-02T13:34:20Z,3319,0
woxingxiao/BubbleSeekBar,2016-11-03T14:31:05Z,3317,0
shekhargulati/99-problems,2015-11-22T05:56:33Z,3306,0
trojan-gfw/igniter,2018-11-08T22:19:03Z,3304,0
grpc-ecosystem/grpc-spring,2016-12-30T09:06:15Z,3298,197
googlesamples/mlkit,2020-05-28T21:40:38Z,3297,65
